"Meg Nathanson, Eva Gougam, Lucie Wax, Zoé Klein, Mathilde Courtes - THEME : Liens entre pensée et machines",,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
img0101.jpg,The Moment,"The Moment est un court-métrage interactif, qui change au gré de l'attention et des émotions des spectateurs. Ces critères sont mesurés par des les casques à électroencéphalogramme. Toutes les six secondes environ, un algorithme recalcule quelle suite il doit donner au film d'après les informations envoyées par le casque. Il choisit alors parmi deux ou trois scénarios, détermine quel personnage sera suivi ou adapte le rythme et le style de musique. Selon le réalisateur, il existerait au total plus de 101.000 milliards de possibilités. L'attitude des spectateurs a un contrôle sur le film, sans avoir d'interaction directe avec lui.",Film interactif,https://youtu.be/NJJgDGZPRIE?t=62,Absolu,2018,10-20,Casques EEG,University of Nottingham,Richard Ramchurn,Vidéo explicative,https://scholar.google.co.uk/citations?user=18s9ItIAAAAJ&hl=en#d=gs_md_cita-d&u=%2Fcitations%3Fview_op%3Dview_citation%26hl%3Den%26user%3D18s9ItIAAAAJ%26citation_for_view%3D18s9ItIAAAAJ%3AW7OEmFMy1HYC%26tzom%3D-60,#film #contrôle #interactif #braincomputerinterface
img0102.jpg,BrainGate,"En utilisant une série de micro-électrodes implantées dans le cerveau, notre recherche pionnière a montré que les signaux neuronaux associés à l'intention de bouger un membre peuvent être ""décodés"" par un ordinateur en temps réel et utilisés pour faire fonctionner des dispositifs externes. Ce système expérimental, appelé BrainGate (Attention : Dispositif expérimental. Limité par la loi fédérale à un usage expérimental) a permis à des personnes atteintes de lésions de la moelle épinière, d'accidents vasculaires cérébraux et de SLA de contrôler un curseur d'ordinateur simplement en pensant au mouvement de leur propre main et de leur propre bras paralysés.
",Expérience clinique,https://youtu.be/ogBX18maUiM?t=699,Relatif,2006,2000,Interface cerveau-machine (implant neuronal),BrainGate,,Vidéo documentaire,https://www.nature.com/articles/nature11076,#braincomputerinterface #interface #contrôle #implant
img0103.jpg,Un bracelet pour contrôler un ordinateur,"CTRL-Labs développe le CTRL-kit, un bracelet capable de lire les signaux neuronaux que le cerveau envoie à vos mains. Il utilise ces signaux pour commander des appareils. Alors pourquoi le poignet et non la tête ? La mesure des signaux envoyés au niveau du poignet facilite la mise au point d'un appareil universel. C'est parce que les électrodes qui lisent les signaux neuronaux sur votre tête, explique-t-il, obtiennent des résultats différents selon les personnes. Dans le cortex, les neurones du cerveau peuvent se trouver les uns à côté des autres, mais ils émettent des signaux pour des choses très différentes, ce qui rend difficile l'identification des bons. En revanche, les neurones qui contrôlent les muscles de la main sont plus organisés par région: il y a donc une certaine cohérence entre les gens en raison de la disposition des muscles.",Prototype,https://youtu.be/D8pB8sNBGlE?t=598,Relatif/Absolu (dépend de l'utilisation),2018,10-20,Interface cerveau-machine non-invasivel,CTRL-Labs,Thomas Reardon & Patrick Kaifosh,Vidéo de présentation,https://korii.slate.fr/tech/controler-outils-numeriques-pensee-cerveau-nextmind-ctrl-labs,#braincomputerinterface #neurocybernetique #controle #nerfs #prototype 
img0104.png,Le poussin télépathe,"Il s'agit d'une expérience où un poussin est ""élevé"" par un robot. Le robot est programmé pour effectuer des mouvements aléatoires , et il est relié à un petit stylo qui marque sa trajectoire sur la surface qu'il parcourt. Le poussin suit le robot dans ses mouvements, en pensant qu'il est sa mère. Les déplacements sont dus au hasard et ne respectent pas de logique précise, ils sont répartis de façon chaotique dans l'espace. La deuxième phase de l'expérience consiste en l'éloignement du poussin et du robot. Le premier va être placé dans une petite boite transparente sur un bord de la surface que le robot peut parcourir. Le poussin va appeler sa mère. L'expérience montre que le robot aura tendence à se diriger vers son poussin, quand bien même il ne possède aucun capteur pouvait entendre les cris de son enfant. Le robot conservera son déplacement normal si le poussin placé dans la boite n'est pas le sien.",Expérience,https://www.youtube.com/watch?v=LQmei8MuQNI&t,Absolu,1985,80,Tychoscope,Indépendant,René Peoc’h,Vidéo d'une expérience,https://inexplore.inrees.com/articles/robot-influence-esprit,#experience #telepathie #esprit #parapsychologie
img0105.png,Speech synthesis from neural decoding of spoken sentences,"Des chercheurs ont mis au point un décodeur neuronal capable de traduire les signaux qu’envoie le cerveau en phrases (plus ou moins) intelligibles. Un espoir pour les personnes qui ont perdu la capacité de parler. Des chercheurs de l’Université de Californie à San Francisco planchent activement sur le sujet. Ils ont mis au point un décodeur neuronal, présenté en avril dans la revue Nature. Ce dispositif traduit les signaux envoyés par le cerveau en paroles prononcées par une voix synthétique. Pour développer ce décodeur, les chercheurs ont mené une étude sur cinq patients équipés d’électrodes au niveau du cerveau (ils en étaient déjà équipés pour un traitement contre l’épilepsie). Les « cobayes » ont prononcé une centaine de phrases afin de permettre aux chercheurs d’identifier quels signaux étaient envoyés par le cerveau lorsqu’ils articulaient les mots. « Les signaux cérébraux liés aux mouvements de la parole sont en partie communs à tous les individus », explique à l’AFP Edward Chang, l’un des chercheurs à l’origine de ce projet. Le dispositif, à l’état de prototype, n’est pas parfait. La voix synthétique mange certains mots.",Prototype,https://www.youtube.com/watch?v=kbX9FLJ6WKw,Absolu,2018-2019,10-20,Décodeur,Université de Californie à San Francisco,"Chercheurs de l'Université
Edward Chang, (un des chercheurs)",Vidéo d'une expérience,"https://www.ladn.eu/tech-a-suivre/ia-machine-learning-iot/homme-machine-lire-dans-pensees/
https://www.nature.com/articles/s41586-019-1119-1.epdf?shared_access_token=2DhootwAeGFtoS53k5X9StRgN0jAjWel9jnR3ZoTv0PrAYuou8HGBumf5856SOeMchnCU-fnH3qDx_0_g4Tq8NJNJW0zz0xgj0mPUom0IDLbErEjmHffP5PHTcuGPjRrhRPhxSzctJ6bnLhpyFVYNg%3D%3D",#prototype #decodeur #parler #penser #voixsynthetique
img0106.gif,IRM,"L'imagerie par résonance magnétique (IRM) est une technique d'imagerie médicale permettant d'obtenir des vues en deux ou en trois dimensions de l'intérieur du corps. Le signal IRM émis par le sang oxygéné diffère du signal du sang désoxygéné. Cela permit de réaliser en 1992 les premières images du cerveau en fonctionnement : en réponse à des stimulations visuelles, ils purent mesurer une augmentation du débit sanguin cérébral dans les aires visuelles du lobe occipital. C'est un outil central des neurosciences cognitives contemporaines.",Dispositif d'imagerie médicale,https://youtu.be/Ha_kzVyPJ5U?t=239,Absolu,1992,90-2000,/,AT&T Bell Laboratories,Seiji Ogawa,Gif animé,https://fr.wikipedia.org/wiki/Imagerie_cérébrale,#imageriemédicale #medecine #cerveau #neurologie
img0107.png,Capteurs neuronaux nouvelle génération,"Il s'agit de capteurs nouvelle génération qui a la forme de neurones. La recherche centrée sur l'interface entre le système nerveux et l'électronique permet non seulement de faire progresser les neurosciences fondamentales, mais aussi d'exploiter le potentiel des implants capables de cibler les thérapies au niveau cellulaire.  À terme, ces thérapies électroniques personnalisées fourniront de nouvelles modalités de traitement pour les maladies neurodégénératives et neuropsychiatriques ; travailler à partir de notre laboratoire ; contrôler puissamment les prothèses pour restaurer la fonction dans les maladies dégénératives, les traumatismes et les amputations ; et même augmenter la cognition humaine.",Capteur,/,Absolu ,2019,10-20,/,Harvard University,Shaun Patel & Charles M. Lieber,Article scientifique,https://www.nature.com/articles/s41587-019-0234-8.epdf?author_access_token=Uwzg8keLw020uGJZiMSrA9RgN0jAjWel9jnR3ZoTv0Oc-BvwT2vpPTFOtEegfmCqmEv6AzscJsSWbfbrLeCjPgEPMnd7scSZ59zD7dbUii-okb6y_lbk7RTr_zifu7ZgC39Fb442PeCWAe0ToW1Gag%3D%3D,#capteurs #neurones #futur
img0108.gif,Système d'interface cerveau-machine : Curseur d'ordinateur à commande corticale,Description schématique d'un curseur d'ordinateur à commande corticale effectuant une tâche de centrage. La carte en couleur à l'arrière-plan représente une carte corticale stable pour la fonction prothétique,Expérience,/,Relatif,2006,2000,Implant cérébral,/,/,Article ,https://ieeexplore.ieee.org/document/5415990,#braincomputerinterface 
img0109.jpg,"First Human Brain-Controlled Robot ""Avatar""",The first demonstration of a noninvasive brain-controlled humanoid robot “avatar” named Morpheus.This noninvasive BCI infers what object the robot should pick and where to bring it based on the brain’s reflexive response when an image of the desired object or location is flashed.,Démonstration,https://www.youtube.com/watch?v=6l2m-Yz2Y9U&ab_channel=uwneuralsystems,Absolu,2006,2000,Casque,"Neural Systems Lab, University of Washington",/,Vidéo,https://theconversation.com/melding-mind-and-machine-how-close-are-we-75589,#braincomputerinterface 
img0110.jpg,Dynamic Saccadic Redirection,"Technique de marche redirigée qui peut s'appliquer à des environnements physiques de petite taille avec des obstacles statiques ou dynamiques. Grâce à un casque de RV qui suit la tête et les yeux, cette méthode détecte la suppression saccadée et redirige les utilisateurs pendant la cécité temporaire qui en résulte. La planification dynamique de parcours s'exécute en temps réel sur un GPU, et peut donc éviter les obstacles statiques et dynamiques, y compris les murs, les meubles et les autres utilisateurs de RV qui partagent le même espace physique. Pour améliorer encore la redirection saccadée, une méthode de direction subtile du regard adaptée à la perception de la RV est utilisée.",Invention,https://drive.google.com/file/d/1sTOX5rb7nJRgi0mueYfkZMx-t1NGxmBg/view,,2018,10-20,Casque de réalité virtuelle,NVIDIA,/,Publication,https://research.nvidia.com/publication/2018-08_Towards-Virtual-Reality,#VR #jeuvideo
img0111.png,Ownership of a body other than one's own,Dispositif expérimental visant à induire la possession illusoire d'un corps artificiel (panneau de gauche). Le participant pouvait voir le corps du mannequin du point de vue de la tête du mannequin (panneau de droite).,Expérience,https://www.youtube.com/watch?v=KcQXmj2LcZA,Absolu,2008,2000,Casque de réalité virtuelle,"Justin Harris, University of Sydney, Australia",Petkova VI & Ehrsson HH,Vidéo de l'expérience,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003832#pone-0003832-g001,#VR #experience
img0112.png,"AlterEgo, le casque qui lit dans vos pensées","Des chercheurs du MIT ont développé un appareil qui permet de contrôler un ordinateur par la pensée. Cette technologie est basée sur la détection des signaux neuromusculaires. Il s'agit en fait d'un appareil capable de « lire dans les pensées » et de contrôler un ordinateur à distance. Développé par Arnav Kapur, un étudiant diplômé du Massachusetts Institute of Technology (MIT) Media Lab, le casque AlterEGo retranscrit les mots que son utilisateur « verbalise » dans sa tête, sans que celui-ci ne les dise à haute voix. Pour cela, quatre électrodes placées sur l'appareil détectent les signaux neuromusculaires de la mâchoire et du visage, déclenchés par la verbalisation interne. En clair, lorsque l'on « se parle dans sa tête », des impulsions électriques se produisent à la surface de la peau. Indétectables par l'oeil humain, ces signaux sont repérés par le dispositif, puis transmis à une Intelligence Artificielle (IA) entraînée à associer certains signaux à des mots particuliers.",Prototype,https://www.youtube.com/watch?v=RuUSc53Xpeg&feature=emb_logo,Absolu,2018,10-20,Casque,MIT,Arnav Kapur,Vidéo de présentation,https://www.lesechos.fr/tech-medias/intelligence-artificielle/alterego-le-casque-capable-de-vous-entendre-penser-131683,"#controle #ordinateur #pensee #prototype #neuromusculaire
#machoire"
img0113.png,Télépathie de cerveau à cerveau ,"Des chercheurs affirment avoir transmis pour la première fois un message mental simple entre deux personnes séparées par des milliers de kilomètres, selon un article publié dans la revue américaine PLOS one.

",Expérience ,https://youtu.be/8ly9C5UOgIU,Absolu ,2014,10-20 ,Ordinateur ,"Starlab  université expagnol, société française Axilum Robotics",Je ne sais pas ,Vidéo ,https://www.leparisien.fr/sciences/video-cerveau-une-premiere-experience-de-telepathie-reussie-05-09-2014-4111677.php,#telepathie #cerveau #message 
