Noémie Camille et Mélanie : Réalité Virtuelle,,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
img0901.jpg,Link trainer,"Simulateur de vol qui fut utilisé pendant plus de 25 ans par la plupart des armées et des compagnies aériennes du monde. Mouvements sur les 3 axes, cabine totalement obscure une fois fermée, écran pour une immersion totale. Les éléments du vol sont restitués sur une carte par l'intermédiaire d'un traceur et peuvent être analysés lors des phases d'instruction.",Simulateur de Vol/ Capsule,https://youtu.be/MEKkVg9NqGMM,Absolu,1929,20-30,Link trainer,Link Aviation Devices,Edwin A Link,Vidéo de démonstration,https://en.wikipedia.org/wiki/Link_Trainer,#simulateur #vol #cabine #immersion #réalitevirtuelle #VR
img0902.jpg,Sensorama,"Sensorama est l'une des œuvres qui a marqué l'introduction des systèmes des dispositifs interactifs dans le domaine des arts. Cette œuvre datant de 1962, signée Morton Heilig, initialisera le monde au prototype sensoriel et à la réalité virtuelle. Il émet son premier prototype en 1955 avec l'idée du théâtre de l'expérience, un casque qui enclenche un mécanisme comme le souffle du vent ou des odeurs, mais il n'a jamais vu le jour. 7 ans plus tard, il propose un nouveau prototype sous le nom de Sensorama : un dispositif mécanique assez impressionnant pour la technologie des années 60, mêlant télévision et son stéréophonique. Pour présenter son œuvre, il va même réaliser 5 court-métrages.
Ce dispositif n'était plus un simple casque, mais un objet encombrant, digne d'un jeu d'arcade des années 80,comprenant un écran stéréoscopique 3D, des ventilateurs, des émetteurs d'odeurs, un siège et du son stéréo. Le Sensorama simulait une promenade en moto à travers N-Y. Il représentait l'un des premiers prototypes d’un système immersif qui réalise des sensations à travers un dispositif technologique, mais celui-ci n’est pas commercialisé à cause d'un coût trop élevé.
",Simulateur immersif,https://youtu.be/vSINEBZNCks?t=82,Absolu,1962,60-70,Sensorama,,Morton Heilig,Vidéo de démonstration,https://en.wikipedia.org/wiki/Sensorama,#prototype #dispositif #technologie #sensation #réalitevirtuelle #VR
img0903.jpg,Ultimate Display,"Dans le cadre de recherche au MIT au sein de l’université de Boston. Il s’agit d’un casque disposant de deux lentilles au niveau des yeux, relié à un ordinateur grâce à un bras articulé. L’expérience consiste à afficher un cube en 3D à travers les lentilles.
L’ordinateur recalcule l’image et l’angle de vue.",Casque ,https://youtu.be/eVUgfUvP4uk,Absolu,1968,60-70,Ultimate Display,M.I.T,Ivan sutherland,Vidéo de démonstration,https://www.ulyces.co/news/le-premier-casque-de-realite-virtuelle-a-ete-invente-en-1968/,#casque #lentilles #brasarticulé #réalitevirtuelle #VR
img0904.jpg,Super Cockpit,"Un cockpit d'entraînement capable de projeter des cartes 3D générées par ordinateur, des images infrarouges et radar, et des données d'aviation en temps réel au sein d’un espace 3D. Selon ce créateur, ce projet a coûté plusieurs centaines de millions de dollars. Bien avant l’apparition des simulateurs de vol VR, ce projet permettait déjà aux pilotes de s’entraîner en utilisant des gestes, des paroles et même des mouvements oculaires.",Simulateur de Vol,,Absolu,1970,70-80,Super Cockpit,Armée,Thomas Furness,Photographie,https://www.roadtovr.com/50-years-vr-tom-furness-super-cockpit-virtual-retinal-display-hit-lab-virtual-world-society/,#cockpit #radar #infrarouge #aviation #simulateur #vol #réalitevirtuelle #VR
img0905.jpg,Data Glove,"La société de jeux vidéo Atari crée l'Atari Research Lab où Thomas Zimmerman va créer le DataGlove, un gant capable de retranscrire en temps réel les mouvements de la main dans l'univers virtuel, grâce à des capteurs. A cette époque il s'agissait de fibres optiques, les capteurs s'étant ensuite modernisés. Mais le laboratoire fut fermé par Atari en 1983, Zimmerman fonde alors VPL Research afin de commercialiser le DataGlove en 1984.",Gant,https://www.youtube.com/watch?v=fs3AhNr5o6o,Absolu,1982,80-90,PC + Logiciels ,Atari Research Lab,Thomas Zimmerman,Vidéo de démonstration,https://www.tomshardware.fr/lhistoire-reelle-de-la-realite-virtuelle/5/,#gant #main #mouvement #fibre #capteur #réalitevirtuelle #VR
img0906.jpg,The Cave,"Première chambre de réalité virtuelle conçue par des chercheurs de l’Université de l’Illinois, à Chicago. La Cave était sans nul doute l’expérience en réalité virtuelle qui proposait l’immersion la plus importante.C’est une pièce constituée de 2, 3, 4 ou 5 murs sur lesquels sont projetées des vidéos en 3D. Le sol et parfois le plafond peuvent aussi recevoir une projection. L’utilisateur porte des lunettes 3D telles que celles qui sont utilisées dans les cinémas projetant des films en 3 dimensions.",Chambre VR,https://www.youtube.com/watch?v=aKL0urEdtPU,Absolu,1990,90-2000,PC,"Université de l’Illinois, Chicago","Chercheurs de l’Université de l’Illinois, à Chicago",Vidéo de démonstration,https://www.realite-virtuelle.com/cave-realite-virtuelle-vr/,#affichage #stereoscopique #casque #environnement #réalitevirtuelle #VR
img0907.jpg,The VIEW,"La station de travail VIEW (Virtual Interface Environment Workstation) est un système d'affichage stéréoscopique monté sur la tête, dans lequel l'affichage peut être un environnement artificiel généré par ordinateur ou un environnement réel relayé par des caméras vidéo distantes. L'opérateur peut entrer dans cet environnement et interagir avec lui.",Casque,https://www.youtube.com/watch?v=TY8CyUQOncc,Absolu,1990,90-2000,VIEW,NASA,NASA,Photographie,https://www.culture-games.com/histoires-du-jeu-video/la-realite-virtuelle-cette-fois-ci-cest-la-bonne-02-les-casques-de-la-prehistoire,#aerospatial #simulation #immersion #réalitevirtuelle #VR
img0908.jpg,Sega VR,"Le Sega VR était pensé comme un accessoire grand public pour la console Sega MegaDrive. Le casque en plastique noir regroupait un écran LCD, un casque stéréo, et des capteurs d’inertie pour le tracking des mouvements de tête de l’utilisateur. Malheureusement, cet ambitieux projet ne fut jamais réalisé. Selon Sega, la firme avait peur que l’effet soit trop réaliste et que les gens se blessent. ",Casque VR gaming,https://youtu.be/yd98RGxad0U,Absolu ,1991,90-2000,Console MegaDrive (SEGA),SEGA Corporation,SEGA Corporation,Vidéo de démonstration,https://fr.wikipedia.org/wiki/Sega_VR,#casque #capteur #mouvement #tête #réalitevirtuelle #VR
img0909.jpg,VR Virtual Boy,"À sa sortie, la console est présentée comme étant une des premières à intégrer la réalité virtuelle par le biais d'un Visiocasque 3D. Contrairement aux apparences et à l'idée qui circule, ce casque ne se porte pas ni ne s'attache autour de la tête puisqu'il repose sur un bipied, destiné à être posé sur une table.",Casque VR gaming,https://www.youtube.com/watch?v=1tqaZEe_anss,Absolu / Relatif,1995,90-2000,VR Virtual Boy,Nintendo,Gunpei Yokoi,Vidéo de démonstration,https://fr.wikipedia.org/wiki/Virtual_Boy,#casque #bipied #réalitevirtuelle #VR
img0910.jpg,Cybermaxx,Un casque de réalité virtuelle permettant d’entrer dans les jeux vidéo. Il utilise deux panneaux LCD couleur actifs avec chacun 180 000 pixels pour la vision stéréoscopique.,Casque VR gaming,https://www.youtube.com/watch?v=_t4CFkn_4zgg,Absolu / Relatif,1995,90-2000,PC ou une source NTSC,Victormaxx,Chercheurs de Victormaxx,Vidéo de démonstration,https://www.mellottsvrpage.com/index.php/cybermaxx-virtual-reality-helmet/,#caque #stéréoscopique #mouvement #réalitevirtuelle #VR
