Melissa Le Dréau Groupe 13 Thème : L'interaction et la manipulation de l'homme liées aux capteurs / Capteurs indirect (interaction sans la manipulation) et Capteurs direct (touchId..),,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
img1301,FaceId,"Face ID est un procédé, système de reconnaissance faciale et logiciel propriétaire imaginé et réalisé par Apple. Face ID utilise un ""système de caméra TrueDepth"", qui se compose de capteurs, de caméras et d'un projecteur de points en haut de l'écran de l'iPhone dans l'encoche pour créer une carte 3D détaillée de votre visage. Chaque fois que vous regardez votre téléphone, le système effectue un contrôle d'authentification sécurisé.","reconnaissance faciale, lumière infrarouge",https://www.youtube.com/watch?v=g4m6StzUcOw            https://www.youtube.com/watch?v=JpcyIADDWFQ,relatif,2017,10-20,"30 000 points infrarouges projetés sur le visage, suivi expression en temps réel, capteurs captent 50 mouvements de muscles différents en temps réel (kinect à l'intérieur)",,Bertillonnage,vidéo démonstrative des capteurs sur le visage,https://www.pocket-lint.com/fr-fr/smartphones/actualites/apple/142207-qu-est-ce-que-apple-face-id-et-comment-cela-fonctionne-t-il     https://www.kaspersky.fr/blog/security-face-id-apple/9488/,face point found commun
img1302,Empreinte Digital ,"L'origine de l'empreinte : En 1891, après avoir étudié les écrits de Galton, Juan Vucetich, fonctionnaire de police, crée en Argentine le premier fichier d'empreintes. Il sera le premier à identifier une criminelle sur la base des empreintes digitales. Les premiers systèmes d'identification criminelle sont apparus à la fin du 19e siècle. Ils s'inspiraient des avancées décisives du système Henry de classification des empreintes digitales en fonction de caractéristiques physiologiques et anthropométriques et du système Bertillon qui utilisait le « relevé métrique » de certains caractères anatomiques des suspects.","reconnaissance d'empreinte, papier ",https://www.youtube.com/watch?v=PI4PMV4wmpo,absolu,1891,90,"localisation des minuties, analyse spectrale à l'aide d'ondelettes, traitement de textures, trois grands motifs existants",,Juan Vucetich,vidéo explicative de l'empreinte digital (epiderme...),https://www.thalesgroup.com/fr/europe/france/dis/gouvernement/biometrie/empreintes-digitales-et-identification    https://genea-logiques.com/2013/02/26/le-systeme-henry/,crime footprint system
img1303,"Système AFIS, Lecteur d’empreintes digitales dactylogramme scanners d'empreintes décadactylaires et d'empreintes palmaires ","C'est un système informatique permettant de réaliser des identifications (authentifications, recherches ouvertes) basées sur les empreintes digitales.Les scanners d'empreintes, autrefois utilisés uniquement pour les systèmes de fermeture des énormes coffres bancaires, sont devenus à présent des éléments de sécurité intégrés par exemple sur des ordinateurs portables, des téléphones ou des guichets automatiques.",numérique,https://www.youtube.com/watch?v=5ni6cb1-AiU https://www.youtube.com/watch?v=1EixYM9RXQY,relatif,1960,60,algorithme,,AFIS policiers sont historiquement précurseurs de ce système,vidéo création de lecteur d'empreinte,https://fr.wikipedia.org/wiki/Syst%C3%A8me_d%27identification_automatique_par_empreintes_digitales    https://www.thalesgroup.com/fr/europe/france/dis/gouvernement/biometrie/empreintes-digitales-et-identification,"crime footprint numerique, system, robot, data"
img1304,"Interaction entre le sol et l'humain (ses émotions, ses mouvements)","Dans ce projet d'interaction, le sol est conçu pour capter différents langages corporels et réagir à certains d'entre eux. Les humeurs agitées et colériques exprimées par des mouvements rapides et brusques effraient le sol, tandis que les humeurs calmes et détendues, exprimées par des mouvements lents et calmes, attirent le sol vers l'utilisateur. Le sol peut également contribuer à modifier l'humeur de l'utilisateur en montrant de l'enjouement et en interagissant davantage comme un jeu de pêche.",projection sur le sol,https://www.youtube.com/watch?v=JOg4chJAgn8,absolu,2014,10-20,Capteur de distance et Contrôleur Phidget (www.phidgets.com) et un code de traitement (processing.org),,Emo-diho,vidéo démonstration,https://www.youtube.com/watch?v=JOg4chJAgn8,floor emotion animation forms
img1305,Interrupteur ,"Le premier interrupteur utilisant la technologie ""quick-break"" fut inventé par John Henry Holmes en 1864 dans le district de Shieldfield à Newcastle upon Tyne2. Il permet  d'interrompre ou d'autoriser le passage d'un flux",éléctrique,,relatif,1864,60,,,John Henry Holmes,,https://fr.wikipedia.org/wiki/Interrupteur,pression touch
img1306,Reconnaissance automatique de la parole (Siri) commande vocale,Les travaux sur la reconnaissance de la parole datent du début du xxe siècle. Le premier système pouvant être considéré comme faisant de la reconnaissance de la parole date de 1952.,technologique,https://www.youtube.com/watch?v=ShinFlw7Pd0,absolu,"1952, siri = 2011 google 2012",10-20,Code : raspberry Objective C (1983) Brad Cox,"google, apple","Davis, Biddulph et Balashek aux laboratoires Bell Labs",création d'un reconnaisseur vocal,https://fr.wikipedia.org/wiki/Commande_vocale,voice create
img1307,Multi-touch,"L'idée du multi-touch voit le jour grâce à l’utilisation des claviers d’ordinateur. 

Le principe de l'écran tactile est présenté par le Britannique E.A. Johnson en 1965 et plus en détail en 1967. Il utilise une technologie capacitive aujourd’hui utilisée dans la plupart des dispositifs.La technologie multi-touch débute en grande partie en 1982, quand le département d’ingénierie électrique de l'université de Toronto développe le premier système multi-touch utilisable par un humain. Dix ans plus tard, IBM et Bell South produisent le premier smartphone uni-touch tactile, le Simon.",technologique capacitive ,https://www.youtube.com/watch?v=ac0E6deG4AU,absolu,1965-67,60-70,"Onde Tactile de Flexion
Electrique (LEDs)                                  Optique     points de contact simultanés et multiples, ainsi que d’un logiciel qui interprète ces contacts simultanés.",université de Toronto,Britannique E.A. Johnson,vidéo d'une création d'écran tactile révolutionnaire,https://www.youtube.com/watch?v=4mPdNV_smWg,"light multi-touch epiderm, skin"
img1308,Faire le mur Exposition ,Cette oeuvre se trouvait au début de l'exposition Faire le mur au Musée des Arts Déco. Ce système captait nos mouvements et les retranscrivaient avec la couleur et les formes sur une grande surface. Il suffisait de bouger devant le mur.,technologique,Il n'y a pas de vidéo (référence personnelle d'une Exposition),absolu,2016,10-20,capteurs mouvements,/,/,/,https://madparis.fr/francais/musees/musee-des-arts-decoratifs/expositions/expositions-terminees/faire-le-mur-quatre-siecles-de-papiers-peints-1467/,movement body captor colors forms random
img1309,Détecteur de mouvement / capteurs cinéma,"Le détecteur de mouvement est un appareil électrique qui utilise un capteur pour détecter un mouvement à proximité. Un tel dispositif est souvent intégré en tant que composant d'un système qui exécute automatiquement une tâche ou alerte un utilisateur de mouvement dans une zone. (kinect, lampe, éclairage automatique...). En 1970, les premiers dispositifs détecteurs de mouvement font leur apparition, renforçant la sécurité des bâtiments. D'abord reproduisant le fonctionnement d'un radar, ils détectent toute forme vivante et envoient une onde radio, produisant trop souvent des déclenchements intempestifs.",éléctrique & technologique,https://www.youtube.com/watch?v=uTlS4LXp7bE,absolu,1970,70,"capteurs infrarouge (corps chaud), carte éléctronique, capteur PIR (se compose de deux capteurs (broches). Détecte les valeurs infrarouges et envoie un signal, capter les mouvements indépendament de la lumière",,Augustus Russell Pope,vidéo explicative du capteur de détection de mouvement,https://www.youtube.com/watch?v=uTlS4LXp7bE,captor movement body 
img1310,"
Hannah Weinberger  We didn't want to leave live
","Ce projet ne peut exister sans visiteurs. Ainsi, c’est le silence qui domine dans les salles, jusqu’à l’entrée de la première personne.Ce projet consiste à capter la présence du visiteur pour activer l'installation. Chaque nouveau participant qui arrive déclenche une bande son pendant la durée de sa présence . Cette bande son se module en fontion du déplacement, de l'entrée des visiteurs....Ce projet se tient sur plusieurs étages à Geneve, les sons vont donc varier en fonction de personnes présentent à certains étages...Une radio capte la présence et le son changera à chaque mouvement de personne.",technologique,https://www.facebook.com/watch/?v=742566846243633,absolu,2020,20,capteur infrarouges algorithme,Rocket Science,Hannah Weinberger,vidéo de l'artiste qui présente son projet,https://fitzpatrick.gallery/projects/wedidntwanttoleave-live,body around world people connected
